Country,Happiness Score,Education Expenditure,Urban Population Proportion,Unemployment Rate,Life expectancy at birth (females),Life expectancy at birth (males),Average Life Expectancy,GDP per capita (current US$),Health Expenditure,Improved Water Access (%),Physicians Density,Safe Sanitation Access(%),Region,Suicide Rate
Nigeria,5.073999882,,47.8,5.4,52.6,51.2,51.900000000000006,2714.5,3.7,29.099999999999998,,28.73534958,Africa,7.133333333333333
Tajikistan,5.040999889,5.2,26.8,10.8,73.5,67.7,70.6,925.9,6.9,94.65,1.7,64.40499738072964,Asia,5.3
Bhutan,5.011000156,7.4,38.6,2.4,68.9,68.6,68.75,2677.1,3.6,55.5,0.3,63.47546086,Asia,5.033333333333333
Kyrgyzstan,5.004000187,5.5,35.7,7.7,74.3,66.4,70.35,1106.4,6.5,92.35,1.9,62.75474311725401,Asia,9.366666666666665
Nepal,4.961999893,3.7,18.6,3.0,70.4,67.4,68.9,724.5,5.8,49.75,,41.1154797,Asia,10.299999999999999
Mongolia,4.954999924,4.6,72.0,6.3,72.7,64.5,68.6,3973.4,4.7,54.5,2.9,51.49591845,Asia,19.333333333333332
South Africa,4.828999996,6.0,64.8,26.0,63.0,56.1,59.55,5773.0,8.8,65.05,0.8,45.11366736392395,Africa,26.100000000000005
Tunisia,4.804999828,6.3,66.8,14.6,77.1,73.0,75.05,3660.9,7.0,88.6,1.6,77.34910318,Africa,3.033333333333333
Egypt,4.735000134,,43.1,11.5,73.0,68.7,70.85,3452.3,5.6,94.94999999999999,0.8,62.329708163030105,Africa,3.4333333333333336
Bulgaria,4.714000225,4.1,73.9,8.1,77.8,70.8,74.3,6846.8,8.4,85.25,4.0,66.79304934,Europe,6.833333333333333
Sierra Leone,4.709000111,2.7,39.9,3.1,50.7,49.6,50.150000000000006,694.8,11.1,14.850000000000001,,13.24676127,Africa,11.066666666666668
Cameroon,4.695000172,3.0,54.4,4.6,57.7,55.1,56.400000000000006,1217.3,4.1,44.3,,31.697885041416,Africa,16.46666666666667
