Country,CountryCode,Year,SuicideRate,SuicideRateRange
,AMR,2017,4.1,[3.6-6.3]
Liberia,LBR,2017,6.2,[3.1-12.2]
Angola,AGO,2017,4.9,[2.9-7.7]
Argentina,ARG,2017,14.3,[11.8-17.1]
Ecuador,ECU,2017,4.2,[3.2-5.4]
Timor-Leste,TLS,2017,4.4,[1.6-7.6]
Portugal,PRT,2017,3.9,[3.1-5.0]
Costa Rica,CRI,2017,2.2,[1.6-3.0]
Zimbabwe,ZWE,2017,25.9,[13.8-40.9]
Equatorial Guinea,GNQ,2017,8.6,[4.2-15.8]
Greece,GRC,2017,3.8,[3.0-4.7]
Mauritius,MUS,2017,4.3,[3.2-5.6]
Bolivia (Plurinational State of),BOL,2017,4.5,[2.3-7.9]
Samoa,WSM,2017,21.2,[11.6-33.6]
Mongolia,MNG,2017,6.0,[3.7-9.2]
Estonia,EST,2017,25.0,[19.0-32.1]
Tajikistan,TJK,2017,3.5,[2.3-5.2]
Luxembourg,LUX,2017,10.6,[8.2-13.5]
Bosnia and Herzegovina,BIH,2017,13.1,[8.3-17.7]
,AMR,2017,14.6,[13.0-19.9]
Singapore,SGP,2017,5.1,[4.1-6.2]
Norway,NOR,2017,14.0,[12.9-15.3]
Suriname,SUR,2017,40.3,[28.5-54.9]
Benin,BEN,2017,21.0,[12.7-33.0]
Republic of Moldova,MDA,2017,3.3,[2.5-4.2]
Ukraine,UKR,2017,16.9,[13.6-20.8]
Uzbekistan,UZB,2017,5.3,[4.2-6.6]
Cyprus,CYP,2017,3.3,[2.1-4.5]
Benin,BEN,2017,13.1,[7.8-20.9]
Comoros,COM,2017,8.6,[4.4-15.7]
India,IND,2017,14.3,[9.8-17.6]
Canada,CAN,2017,5.8,[4.7-6.9]
Russian Federation,RUS,2017,43.3,[40.6-47.6]
Chile,CHL,2017,3.0,[2.4-3.6]
Yemen,YEM,2017,6.9,[3.5-11.7]
Cabo Verde,CPV,2017,16.2,[10.1-23.6]
Somalia,SOM,2017,23.0,[10.4-41.9]
Jamaica,JAM,2017,2.2,[1.5-3.0]
Thailand,THA,2017,2.4,[1.6-3.5]
Italy,ITA,2017,2.2,[2.0-2.4]
United Arab Emirates,ARE,2017,4.8,[2.7-7.6]
Solomon Islands,SLB,2017,17.8,[8.1-28.5]
France,FRA,2017,10.4,[8.6-15.7]
Seychelles,SYC,2017,1.4,[0.9-1.9]
Greece,GRC,2017,1.5,[1.2-2.0]
Bahrain,BHR,2017,2.3,[1.5-3.3]
Colombia,COL,2017,1.8,[1.4-2.4]
Bahamas,BHS,2017,5.8,[4.1-8.0]
United Arab Emirates,ARE,2017,2.6,[1.5-4.2]
Papua New Guinea,PNG,2017,1.9,[1.1-3.0]
